run_id,run_dir,reward_fn,learning_rate,clip_range,epoch,inner_epoch,_step,history_step_num,loss,approx_kl,clipfrac,reward,reward_mean,reward_std,_runtime,_timestamp,images/_type,images/captions,images/count,images/filenames,images/format,images/height,images/width
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,6,0,26,26,-0.9523351688337047,2.205888943729306e-10,0.019999999552965164,,,,269.46346586,1778062353.525798,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,6,0,27,27,1.6123814402581473,1.9468759937524283e-10,0.019999999552965164,,,,277.949288529,1778062360.8548126,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,7,0,28,28,-1.411653553380479,3.56992074790341e-11,0,"[-124.178, -92.463, -112.694, -72.896]",-100.55775,19.595293853053082,292.465297806,1778062376.5647783,images/separated,['conch | -72.90'],1,['media/images/images_27_ca57e4cda3a19ae9a247.jpg'],jpg,256,256
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,7,0,29,29,0.619342493998078,1.1370251268294496e-10,0,,,,299.679186995,1778062383.8566663,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,7,0,30,30,-0.41309645284773,5.587995066669293e-10,0.03999999910593033,,,,306.959300795,1778062391.0705924,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,7,0,31,31,1.205402561251656,8.121450179032763e-10,0.019999999552965164,,,,315.444685657,1778062398.3506322,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,8,0,32,32,0.12087058976591823,1.0764621832803911e-10,0,"[-55.264, -70.67, -66.962, -84.704]",-69.4,10.507088749982078,329.895728458,1778062414.0528636,images/separated,"['tiger shark, Galeocerdo c | -84.70']",1,['media/images/images_31_ff8c0855a980e2bf55b6.jpg'],jpg,256,256
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,8,0,33,33,-0.23203420694320576,5.40403798099387e-11,0,,,,337.105629159,1778062421.2871327,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,8,0,34,34,1.4565411140350681,3.4872424392595747e-10,0.019999999552965164,,,,344.393685547,1778062428.497006,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,8,0,35,35,-1.34536801985354,7.293079473669195e-10,0.019999999552965164,,,,352.923270086,1778062435.785056,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,9,0,36,36,0.5840001965423496,1.1206954808606895e-10,0,"[-99.225, -73.177, -130.189, -117.556]",-105.03675,21.437043923719983,367.703776525,1778062451.5847502,images/separated,"['clumber, clumber spaniel | -117.56']",1,['media/images/images_35_c9372581e77911f3bdc8.jpg'],jpg,256,256
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,9,0,37,37,-1.4861973429198938,2.2066483362781497e-10,0.019999999552965164,,,,375.189022872,1778062459.0949757,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,9,0,38,38,1.1733060106517357,6.021819154433672e-11,0,,,,382.560593195,1778062466.5802875,,,,,,,
lr_1e_4,/root/autodl-tmp/ddpo_pytorch_lr_sweep_2026-05-06/run/jpeg_4090_lr_1e_4_2026.05.06_18.08.10,jpeg_compressibility,0.0001,0.0001,9,0,39,39,-0.271106959501111,5.534653291228153e-10,0.03999999910593033,,,,391.618757738,1778062473.951973,,,,,,,
